2026-04-14 00:12:43 | INFO     | core.verdict_engine:__init__:57 | Loading NLI model: cross-encoder/nli-deberta-v3-base
2026-04-14 00:12:46 | INFO     | core.verdict_engine:__init__:65 | NLI model using Apple MPS acceleration
2026-04-14 00:12:47 | INFO     | core.verdict_engine:__init__:72 | VerdictEngine ready
2026-04-14 00:12:47 | INFO     | core.pipeline:__init__:65 | VeriFactPipeline ready
2026-04-14 00:12:59 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 2 claims
2026-04-14 00:12:59 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 12.022s
2026-04-14 00:12:59 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 2 claims extracted
2026-04-14 00:12:59 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.409s
2026-04-14 00:12:59 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:13:00 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.534s
2026-04-14 00:13:00 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.277s
2026-04-14 00:13:00 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:13:00 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:13:00 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 13.243s
2026-04-14 00:13:09 | WARNING  | core.claim_decomposer:decompose:112 | LLM decomposition failed (Extra data: line 14 column 1 (char 325)); falling back to spaCy
2026-04-14 00:13:09 | INFO     | core.claim_decomposer:decompose:115 | Fallback decomposed text into 1 claims
2026-04-14 00:13:09 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 9.113s
2026-04-14 00:13:09 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:13:10 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.291s
2026-04-14 00:13:10 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:13:10 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.494s
2026-04-14 00:13:10 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:13:10 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:13:10 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 9.902s
2026-04-14 00:13:15 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 2 claims
2026-04-14 00:13:15 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 4.616s
2026-04-14 00:13:15 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 2 claims extracted
2026-04-14 00:13:15 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.185s
2026-04-14 00:13:15 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
